image_path,embedding_index
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T144749_0001_patch_8.jpg,0
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T144756_0004_patch_9.jpg,1
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T144804_0007_patch_16.jpg,2
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T145019_0061_patch_11.jpg,3
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T145021_0062_patch_21.jpg,4
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T145026_0064_patch_10.jpg,5
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T145046_0072_patch_13.jpg,6
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T145156_0100_patch_8.jpg,7
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T145201_0102_patch_12.jpg,8
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T145429_0161_patch_5.jpg,9
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T145456_0172_patch_9.jpg,10
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T145701_0222_patch_6.jpg,11
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T145749_0241_patch_13.jpg,12
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T145844_0263_patch_4.jpg,13
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T145851_0266_patch_14.jpg,14
AIMS_Water_Monitoring\Clustering_attempt_2\DJIP4_RGB_AU_GRAV_20220506T150039_0309_patch_14.jpg,15
